"DATE","TIME","T_AIR","RH","DEW","BARO","WD","WS","RAIN","SOL","SOL_SUM"
"01/01/01","00:00", 15.0,99, 14.5, 953.4,099,  0.8,   0.0,0000,0000000
"01/01/01","01:00", 13.4,99, 12.8, 953.8,100,  1.9,   0.0,0000,0000000
"01/01/01","02:00", 13.4,99, 12.8, 954.0,114,  1.2,   0.0,0000,0000120
"01/01/01","03:00", 12.4,99, 12.3, 954.3,114,  2.5,   0.0,0000,0000000
"01/01/01","04:00", 11.7,99, 11.7, 954.5,096,  3.1,   0.0,0000,0000120
"01/01/01","05:00", 11.4,99, 11.2, 954.7,085,  2.6,   0.0,0000,0000000
"01/01/01","06:00", 11.5,99, 11.7, 954.8,114,  2.0,   0.0,0000,0000000
"01/01/01","07:00", 11.5,99, 11.7, 954.8,088,  2.8,   0.0,0000,0000000
"01/01/01","08:00", 12.2,99, 12.3, 954.9,088,  2.5,   0.0,0202,0075840
"01/01/01","09:00", 17.4,92, 15.6, 953.7,336,  0.1,   0.0,0442,1050120
"01/01/01","10:00", 20.1,83, 16.7, 952.6,322,  0.0,   0.0,0716,1833360
"01/01/01","11:00", 23.3,71, 17.8, 951.7,289,  0.4,   0.0,0892,2499720
"01/01/01","12:00", 23.1,74, 17.8, 951.2,193,  0.3,   0.0,0522,2867520
"01/01/01","13:00", 23.5,72, 17.8, 950.7,042,  0.1,   0.0,0964,3241800
"01/01/01","14:00", 23.5,85, 20.6, 950.3,117,  0.1,   0.0,0952,3456240
"01/01/01","15:00", 23.1,92, 21.7, 950.3,093,  1.0,   0.0,0876,3259440
"01/01/01","16:00", 20.0,99, 19.5, 950.6,156,  0.6,   0.0,0194,2609640
"01/01/01","17:00", 18.5,99, 17.8, 951.8,034,  1.2,   0.0,0096,0530160
"01/01/01","18:00", 17.5,99, 16.7, 952.3,157,  0.1,   0.0,0038,0271680
"01/01/01","19:00", 16.2,99, 15.6, 952.8,277,  0.6,   0.0,0000,0018360
"01/01/01","20:00", 15.9,99, 15.6, 953.1,277,  0.1,   0.0,0000,0000000
"01/01/01","21:00", 15.6,99, 15.0, 953.3,196,  0.1,   0.0,0000,0000000
"01/01/01","22:00", 15.2,99, 14.5, 953.4,264,  0.0,   0.0,0000,0000000
"01/01/01","23:00", 14.7,99, 13.9, 953.6,244,  0.3,   0.0,0000,0000000
"01/02/01","00:00", 14.2,99, 13.4, 953.7,105,  0.9,   0.0,0000,0000000
"01/02/01","01:00", 13.4,99, 12.8, 954.0,104,  1.5,   0.0,0000,0000000
"01/02/01","02:00", 12.3,99, 12.3, 954.3,113,  1.7,   0.0,0000,0000000
"01/02/01","03:00", 11.6,99, 11.7, 954.7,105,  2.1,   0.0,0000,0000000
"01/02/01","04:00", 11.0,99, 11.2, 954.9,107,  3.3,   0.0,0000,0000000
"01/02/01","05:00", 10.8,99, 10.6, 955.1,092,  3.1,   0.0,0000,0000000
"01/02/01","06:00", 10.3,99, 10.0, 955.2,101,  3.1,   0.0,0000,0000000
"01/02/01","07:00", 10.2,98,  9.5, 955.3,107,  3.4,   0.0,0000,0000120
"01/02/01","08:00", 11.4,94, 10.0, 955.2,097,  2.3,   0.0,0234,0105360
"01/02/01","09:00", 17.0,79, 13.4, 954.0,058,  0.0,   0.0,0488,1266000
"01/02/01","10:00", 20.1,65, 13.4, 952.8,328,  0.9,   0.0,0758,1923960
"01/02/01","11:00", 21.3,62, 13.4, 952.1,245,  0.4,   0.0,0862,2139360
"01/02/01","12:00", 24.0,29,  4.5, 951.5,273,  0.3,   0.0,0706,3050520
"01/02/01","13:00", 24.1,24,  2.3, 950.9,294,  1.2,   0.0,0896,3257400
"01/02/01","14:00", 23.5,35,  7.3, 950.5,228,  0.5,   0.0,0952,3558000
"01/02/01","15:00", 23.3,73, 18.4, 950.4,199,  0.0,   0.0,0864,3300720
"01/02/01","16:00", 23.2,74, 18.4, 950.3,145,  0.6,   0.0,0692,2863680
"01/02/01","17:00", 21.2,92, 19.5, 950.7,288,  0.3,   0.0,0420,2030760
"01/02/01","18:00", 16.8,99, 16.2, 952.2,360,  0.5,   0.0,0014,0382080
"01/02/01","19:00", 16.0,99, 15.6, 952.8,288,  1.0,   0.0,0000,0015600
"01/02/01","20:00", 15.5,99, 15.0, 953.1,262,  0.9,   0.0,0000,0000000
"01/02/01","21:00", 15.2,99, 14.5, 953.3,237,  0.4,   0.0,0000,0000000
"01/02/01","22:00", 14.7,99, 13.9, 953.5,019,  0.1,   0.0,0000,0000000
"01/02/01","23:00", 13.1,99, 12.8, 953.9,109,  3.0,   0.0,0000,0000000
"01/03/01","00:00", 12.7,99, 12.3, 954.2,111,  2.9,   0.0,0000,0000360
"01/03/01","01:00", 12.2,99, 12.3, 954.4,092,  2.2,   0.0,0000,0000000
"01/03/01","02:00", 12.4,99, 12.3, 954.4,093,  2.3,   0.0,0000,0000000
"01/03/01","03:00", 11.1,99, 11.2, 954.6,121,  1.9,   0.0,0000,0000000
"01/03/01","04:00", 10.7,99, 10.6, 954.8,114,  2.4,   0.0,0000,0000000
"01/03/01","05:00", 10.5,99, 10.6, 954.9,100,  3.4,   0.0,0000,0000000
"01/03/01","06:00",  9.9,99, 10.0, 955.2,109,  4.6,   0.0,0000,0000000
"01/03/01","07:00",  9.3,99,  9.5, 955.4,107,  2.5,   0.0,0000,0000000
"01/03/01","08:00", 10.7,93,  9.5, 955.4,091,  3.3,   0.0,0246,0103800
"01/03/01","09:00", 16.1,79, 12.3, 954.1,112,  1.1,   0.0,0500,1324440
"01/03/01","10:00", 20.3,38,  5.0, 952.8,041,  0.1,   0.0,0736,1918920
"01/03/01","11:00", 21.7,34,  5.0, 952.0,191,  0.3,   0.0,0086,2158320
