Site	Community	Treatment	Replicate	Species_Code	ITIS_TSN	Plant_Mass	Plant_Mass_m2
GCE6	BorJun	N	1	JROM	39238	75.13	300.5
GCE6	BorJun	N	2	JROM	39238	179.81	719.2
GCE6	BorJun	N	3	JROM	39238	443.20	1772.8
GCE6	BorJun	N	4	JROM	39238	227.53	910.1
GCE6	BorJun	N	5	JROM	39238	176.42	705.7
GCE6	BorJun	N	6	JROM	39238	121.69	486.8
GCE6	BorJun	N	7	JROM	39238	75.91	303.6
GCE6	BorJun	N	8	JROM	39238	38.69	154.8
GCE6	BorJun	C	1	JROM	39238	256.95	1027.8
GCE6	BorJun	C	2	JROM	39238	193.50	774.0
GCE6	BorJun	C	3	JROM	39238	192.28	769.1
GCE6	BorJun	C	4	JROM	39238	248.93	995.7
GCE6	BorJun	C	5	JROM	39238	330.00	1320.0
GCE6	BorJun	C	6	JROM	39238	250.84	1003.4
GCE6	BorJun	C	7	JROM	39238	167.68	670.7
GCE6	BorJun	C	8	JROM	39238	113.87	455.5
GCE6	BorJun	N	1	BFRU	35781	1.34	5.4
GCE6	BorJun	N	2	BFRU	35781	135.12	540.5
GCE6	BorJun	N	3	BFRU	35781	100.33	401.3
GCE6	BorJun	N	4	BFRU	35781	337.71	1350.8
GCE6	BorJun	N	5	BFRU	35781	186.77	747.1
GCE6	BorJun	N	6	BFRU	35781	193.92	775.7
GCE6	BorJun	N	7	BFRU	35781	162.35	649.4
GCE6	BorJun	N	8	BFRU	35781	242.89	971.6
GCE6	BorJun	C	1	BFRU	35781	39.25	157.0
GCE6	BorJun	C	2	BFRU	35781	125.43	501.7
GCE6	BorJun	C	3	BFRU	35781	156.25	625.0
GCE6	BorJun	C	4	BFRU	35781	105.86	423.4
GCE6	BorJun	C	5	BFRU	35781	328.60	1314.4
GCE6	BorJun	C	6	BFRU	35781	122.24	489.0
GCE6	BorJun	C	7	BFRU	35781	177.55	710.2
GCE6	BorJun	C	8	BFRU	35781	309.68	1238.7
GCE6	BorJun	N	1	BMAR	192295	389.62	1558.5
GCE6	BorJun	N	2	BMAR	192295	170.82	683.3
GCE6	BorJun	N	3	BMAR	192295	5.09	20.4
GCE6	BorJun	N	4	BMAR	192295	23.60	94.4
GCE6	BorJun	N	5	BMAR	192295	9.74	39.0
GCE6	BorJun	N	6	BMAR	192295	295.39	1181.6
GCE6	BorJun	N	7	BMAR	192295	0.00	0.0
GCE6	BorJun	N	8	BMAR	192295	0.00	0.0
GCE6	BorJun	C	1	BMAR	192295	170.82	683.3
GCE6	BorJun	C	2	BMAR	192295	48.36	193.4
GCE6	BorJun	C	3	BMAR	192295	0.00	0.0
GCE6	BorJun	C	4	BMAR	192295	51.63	206.5
GCE6	BorJun	C	5	BMAR	192295	0.00	0.0
GCE6	BorJun	C	6	BMAR	192295	0.00	0.0
GCE6	BorJun	C	7	BMAR	192295	0.00	0.0
GCE6	BorJun	C	8	BMAR	192295	0.00	0.0
GCE6	SpaBor	N	1	SALT	41267	590.22	2360.9
GCE6	SpaBor	N	2	SALT	41267	815.28	3261.1
GCE6	SpaBor	N	3	SALT	41267	686.35	2745.4
GCE6	SpaBor	N	4	SALT	41267	599.72	2398.9
GCE6	SpaBor	N	5	SALT	41267	1590.63	6362.5
GCE6	SpaBor	N	6	SALT	41267	896.40	3585.6
GCE6	SpaBor	N	7	SALT	41267	1500.97	6003.9
GCE6	SpaBor	N	8	SALT	41267	1401.73	5606.9
GCE6	SpaBor	C	1	SALT	41267	72.12	288.5
GCE6	SpaBor	C	2	SALT	41267	99.83	399.3
GCE6	SpaBor	C	3	SALT	41267	109.76	439.0
GCE6	SpaBor	C	4	SALT	41267	253.44	1013.8
GCE6	SpaBor	C	5	SALT	41267	216.10	864.4
GCE6	SpaBor	C	6	SALT	41267	231.19	924.8
GCE6	SpaBor	C	7	SALT	41267	144.20	576.8
GCE6	SpaBor	C	8	SALT	41267	157.30	629.2
GCE6	SpaBor	N	1	BFRU	35781	77.28	309.1
GCE6	SpaBor	N	2	BFRU	35781	41.61	166.4
GCE6	SpaBor	N	3	BFRU	35781	32.58	130.3
GCE6	SpaBor	N	4	BFRU	35781	19.96	79.8
GCE6	SpaBor	N	5	BFRU	35781	31.88	127.5
GCE6	SpaBor	N	6	BFRU	35781	112.42	449.7
GCE6	SpaBor	N	7	BFRU	35781	46.79	187.2
GCE6	SpaBor	N	8	BFRU	35781	78.42	313.7
GCE6	SpaBor	C	1	BFRU	35781	67.10	268.4
GCE6	SpaBor	C	2	BFRU	35781	134.96	539.8
GCE6	SpaBor	C	3	BFRU	35781	86.81	347.2
GCE6	SpaBor	C	4	BFRU	35781	23.94	95.8
GCE6	SpaBor	C	5	BFRU	35781	168.84	675.4
GCE6	SpaBor	C	6	BFRU	35781	99.38	397.5
GCE6	SpaBor	C	7	BFRU	35781	111.28	445.1
GCE6	SpaBor	C	8	BFRU	35781	183.94	735.8
GCE6	SpaBor	N	1	DSPI	40662	0.00	0.0
GCE6	SpaBor	N	2	DSPI	40662	0.00	0.0
GCE6	SpaBor	N	3	DSPI	40662	1.38	5.5
GCE6	SpaBor	N	4	DSPI	40662	36.07	144.3
