Year	Month	Day	Site	Zone	Plot	Species	Mollusc_Count	Quadrat_Area	Mollusc_Density
2000	10	30	1	1	1	Littoraria	0	0.2500	0
2000	10	30	1	1	3	Littoraria	0	0.2500	0
2000	10	30	1	1	6	Littoraria	0	0.2500	0
2000	10	30	1	1	8	Littoraria	4	0.2500	16
2000	10	30	1	2	1	Littoraria	0	0.2500	0
2000	10	30	1	2	3	Littoraria	0	0.2500	0
2000	10	30	1	2	6	Littoraria	0	0.2500	0
2000	10	30	1	2	8	Littoraria	0	0.2500	0
2000	10	26	2	1	1	Littoraria	3	0.5000	6
2000	10	26	2	1	3	Littoraria	1	0.5000	2
2000	10	26	2	1	6	Littoraria	1	0.5000	2
2000	10	26	2	1	8	Littoraria	0	0.5000	0
2000	10	26	2	2	1	Littoraria	0	0.5000	0
2000	10	26	2	2	3	Littoraria	0	0.5000	0
2000	10	26	2	2	6	Littoraria	0	0.5000	0
2000	10	26	2	2	8	Littoraria	0	0.5000	0
2000	10	28	3	1	1	Littoraria	2	0.2500	8
2000	10	28	3	1	3	Littoraria	1	0.2500	4
2000	10	28	3	1	6	Littoraria	0	0.2500	0
2000	10	28	3	1	8	Littoraria	0	0.0625	0
2000	10	28	3	2	1	Littoraria	54	0.5000	108
2000	10	28	3	2	3	Littoraria	119	0.2500	476
2000	10	28	3	2	6	Littoraria	117	0.2500	468
2000	10	28	3	2	8	Littoraria	93	0.2500	372
2000	10	26	4	1	2	Littoraria	0	0.5000	0
2000	10	26	4	1	3	Littoraria	0	0.2500	0
2000	10	26	4	1	4	Littoraria	1	0.2500	4
2000	10	26	4	1	8	Littoraria	1	0.2500	4
2000	10	26	4	2	1	Littoraria	36	0.2500	144
2000	10	26	4	2	3	Littoraria	22	0.2500	88
2000	10	26	4	2	6	Littoraria	38	0.2500	152
2000	10	26	4	2	8	Littoraria	40	0.2500	160
2000	10	27	5	1	1	Littoraria	0	0.2500	0
2000	10	27	5	1	3	Littoraria	0	0.2500	0
2000	10	27	5	1	6	Littoraria	0	0.2500	0
2000	10	27	5	1	8	Littoraria	0	0.2500	0
2000	10	27	5	2	1	Littoraria	10	0.5000	20
2000	10	27	5	2	3	Littoraria	11	0.2500	44
2000	10	27	5	2	6	Littoraria	59	0.2500	236
2000	10	27	5	2	8	Littoraria	61	0.2500	244
2000	10	29	6	1	1	Littoraria	1	0.0625	16
2000	10	29	6	1	3	Littoraria	3	0.0625	48
2000	10	29	6	1	6	Littoraria	3	0.0625	48
2000	10	29	6	1	8	Littoraria	0	0.0625	0
2000	10	29	6	2	1	Littoraria	9	0.2500	36
2000	10	29	6	2	3	Littoraria	36	0.2500	144
2000	10	29	6	2	6	Littoraria	81	0.2500	324
2000	10	29	6	2	8	Littoraria	78	0.2500	312
2000	10	25	7	1	1	Littoraria	0	0.5000	0
2000	10	25	7	1	3	Littoraria	0	0.5000	0
2000	10	25	7	1	6	Littoraria	0	0.5000	0
2000	10	25	7	1	8	Littoraria	0	0.5000	0
2000	10	25	7	2	1	Littoraria	0	0.5000	0
2000	10	25	7	2	3	Littoraria	0	0.5000	0
2000	10	25	7	2	6	Littoraria	0	0.5000	0
2000	10	25	7	2	8	Littoraria	0	0.5000	0
2000	10	24	8	1	1	Littoraria	0	0.5000	0
2000	10	24	8	1	3	Littoraria	0	0.5000	0
2000	10	24	8	1	6	Littoraria	0	0.5000	0
2000	10	24	8	1	8	Littoraria	1	0.5000	2
2000	10	24	8	2	1	Littoraria	0	0.5000	0
2000	10	24	8	2	3	Littoraria	0	0.5000	0
2000	10	24	8	2	6	Littoraria	0	0.5000	0
2000	10	24	8	2	8	Littoraria	0	0.5000	0
2000	10	24	9	1	1	Littoraria	4	0.5000	8
2000	10	24	9	1	3	Littoraria	14	0.5000	28
2000	10	24	9	1	6	Littoraria	29	0.5000	58
2000	10	24	9	1	8	Littoraria	18	0.5000	36
2000	10	25	9	2	1	Littoraria	5	0.5000	10
2000	10	25	9	2	3	Littoraria	1	0.5000	2
2000	10	25	9	2	6	Littoraria	0	0.0625	0
2000	10	25	9	2	8	Littoraria	0	0.5000	0
2000	10	28	10	1	1	Littoraria	0	0.2500	0
2000	10	28	10	1	3	Littoraria	0	0.2500	0
2000	10	28	10	1	6	Littoraria	1	0.0625	16
2000	10	28	10	1	8	Littoraria	0	0.0625	0
2000	10	28	10	2	1	Littoraria	3	0.2500	12
2000	10	28	10	2	3	Littoraria	1	0.2500	4
2000	10	28	10	2	6	Littoraria	1	0.2500	4
2000	10	28	10	2	8	Littoraria	4	0.0625	64
2000	10	30	1	1	1	Melampus	0	0.2500	0
2000	10	30	1	1	3	Melampus	0	0.2500	0
2000	10	30	1	1	6	Melampus	0	0.2500	0
2000	10	30	1	1	8	Melampus	1	0.2500	4
2000	10	30	1	2	1	Melampus	8	0.2500	32
2000	10	30	1	2	3	Melampus	0	0.2500	0
2000	10	30	1	2	6	Melampus	0	0.2500	0
2000	10	30	1	2	8	Melampus	0	0.2500	0
2000	10	26	2	1	1	Melampus	0	0.5000	0
2000	10	26	2	1	3	Melampus	0	0.5000	0
2000	10	26	2	1	6	Melampus	15	0.5000	30
2000	10	26	2	1	8	Melampus	0	0.5000	0
2000	10	26	2	2	1	Melampus	0	0.5000	0
2000	10	26	2	2	3	Melampus	0	0.5000	0
2000	10	26	2	2	6	Melampus	0	0.5000	0
2000	10	26	2	2	8	Melampus	0	0.5000	0
2000	10	28	3	1	1	Melampus	2	0.2500	8
2000	10	28	3	1	3	Melampus	0	0.2500	0
2000	10	28	3	1	6	Melampus	0	0.2500	0
2000	10	28	3	1	8	Melampus	21	0.0625	336
2000	10	28	3	2	1	Melampus	1	0.5000	2
2000	10	28	3	2	3	Melampus	3	0.2500	12
2000	10	28	3	2	6	Melampus	0	0.2500	0
2000	10	28	3	2	8	Melampus	0	0.2500	0
2000	10	26	4	1	2	Melampus	1	0.5000	2
2000	10	26	4	1	3	Melampus	3	0.2500	12
2000	10	26	4	1	4	Melampus	0	0.2500	0
2000	10	26	4	1	8	Melampus	2	0.2500	8
2000	10	26	4	2	1	Melampus	0	0.2500	0
2000	10	26	4	2	3	Melampus	0	0.2500	0
2000	10	26	4	2	6	Melampus	0	0.2500	0
2000	10	26	4	2	8	Melampus	0	0.2500	0
2000	10	27	5	1	1	Melampus	3	0.2500	12
2000	10	27	5	1	3	Melampus	0	0.2500	0
2000	10	27	5	1	6	Melampus	4	0.2500	16
2000	10	27	5	1	8	Melampus	0	0.2500	0
2000	10	27	5	2	1	Melampus	4	0.5000	8
2000	10	27	5	2	3	Melampus	0	0.2500	0
2000	10	27	5	2	6	Melampus	0	0.2500	0
2000	10	27	5	2	8	Melampus	0	0.2500	0
2000	10	29	6	1	1	Melampus	0	0.0625	0
2000	10	29	6	1	3	Melampus	10	0.0625	160
2000	10	29	6	1	6	Melampus	3	0.0625	48
2000	10	29	6	1	8	Melampus	5	0.0625	80
2000	10	29	6	2	1	Melampus	0	0.2500	0
2000	10	29	6	2	3	Melampus	0	0.2500	0
2000	10	29	6	2	6	Melampus	0	0.2500	0
2000	10	29	6	2	8	Melampus	0	0.2500	0
2000	10	25	7	1	1	Melampus	0	0.5000	0
2000	10	25	7	1	3	Melampus	0	0.5000	0
2000	10	25	7	1	6	Melampus	0	0.5000	0
2000	10	25	7	1	8	Melampus	0	0.5000	0
2000	10	25	7	2	1	Melampus	0	0.5000	0
2000	10	25	7	2	3	Melampus	0	0.5000	0
2000	10	25	7	2	6	Melampus	0	0.5000	0
2000	10	25	7	2	8	Melampus	0	0.5000	0
2000	10	24	8	1	1	Melampus	6	0.5000	12
2000	10	24	8	1	3	Melampus	0	0.5000	0
2000	10	24	8	1	6	Melampus	0	0.5000	0
2000	10	24	8	1	8	Melampus	0	0.5000	0
2000	10	24	8	2	1	Melampus	2	0.5000	4
2000	10	24	8	2	3	Melampus	3	0.5000	6
2000	10	24	8	2	6	Melampus	0	0.5000	0
2000	10	24	8	2	8	Melampus	0	0.5000	0
2000	10	24	9	1	1	Melampus	0	0.5000	0
2000	10	24	9	1	3	Melampus	0	0.5000	0
2000	10	24	9	1	6	Melampus	0	0.5000	0
2000	10	24	9	1	8	Melampus	0	0.5000	0
2000	10	25	9	2	1	Melampus	13	0.5000	26
2000	10	25	9	2	3	Melampus	76	0.5000	152
2000	10	25	9	2	6	Melampus	27	0.0625	432
2000	10	25	9	2	8	Melampus	34	0.5000	68
2000	10	28	10	1	1	Melampus	0	0.2500	0
2000	10	28	10	1	3	Melampus	0	0.2500	0
2000	10	28	10	1	6	Melampus	1	0.0625	16
2000	10	28	10	1	8	Melampus	0	0.0625	0
2000	10	28	10	2	1	Melampus	0	0.2500	0
2000	10	28	10	2	3	Melampus	0	0.2500	0
2000	10	28	10	2	6	Melampus	0	0.2500	0
2000	10	28	10	2	8	Melampus	3	0.0625	48
2000	10	30	1	1	1	Detracia	0	0.2500	0
2000	10	30	1	1	3	Detracia	0	0.2500	0
2000	10	30	1	1	6	Detracia	0	0.2500	0
2000	10	30	1	1	8	Detracia	0	0.2500	0
2000	10	30	1	2	1	Detracia	0	0.2500	0
2000	10	30	1	2	3	Detracia	0	0.2500	0
2000	10	30	1	2	6	Detracia	0	0.2500	0
2000	10	30	1	2	8	Detracia	0	0.2500	0
2000	10	26	2	1	1	Detracia	0	0.5000	0
2000	10	26	2	1	3	Detracia	0	0.5000	0
2000	10	26	2	1	6	Detracia	0	0.5000	0
2000	10	26	2	1	8	Detracia	0	0.5000	0
2000	10	26	2	2	1	Detracia	0	0.5000	0
2000	10	26	2	2	3	Detracia	0	0.5000	0
2000	10	26	2	2	6	Detracia	0	0.5000	0
2000	10	26	2	2	8	Detracia	0	0.5000	0
2000	10	28	3	1	1	Detracia	0	0.2500	0
2000	10	28	3	1	3	Detracia	0	0.2500	0
